SPORT_ID,GENDER,ID,ERA_INNINGS,COUNTRY_ID,NAME
BB,M,TSL,9,IC,Tenerife Summer League
BB,M,D1,9,BE,Baseball 1st Division
BB,M,D2,9,BE,Baseball 2nd Division
BB,M,D3,9,BE,Baseball 3rd Division
BB,M,D4,9,BE,Baseball 4th Division
BB,M,U15,7,BE,Baseball Under 15 Years Old
SBFP,F,D1,7,BE,Softball Ladies 1st Division
SBFP,F,D2,7,BE,Softball Ladies 2nd Division
SBFP,F,D3,7,BE,Softball Ladies 3rd Division
SBFP,M,D1,7,BE,Softball Men 1st Division
SBFP,M,RESERVES,7,BE,Softball Men Reserves
SBSP,C,COED,7,BE,Softball Coed Slowpitch
BB,M,SBL,9,ES,Spanish Baseball League
BB,M,1DIV,9,ES,Liga Nacional de 1a División
BB,M,HK,9,NL,Honkbal Hoofdklasse
BB,M,OK,9,NL,Honkbal Overgangsklasse
BB,M,A,9,IT,Serie A Baseball
BB,M,B,9,IT,Serie B Baseball
BB,M,ABDL,9,AT,Austria Baseball Bundesliga
BB,M,NBL,9,GB,British National Baseball League
SBFP,F,SSL,7,ES,Spanish Softball League
SBFP,F,SHK,7,NL,Softbal Hoofdklasse
SBFP,F,A1,7,IT,Softball Serie A1
BB,M,ELITSERIEN,9,SE,Elitserien Baseboll
SBFP,F,SOFTBOLLSERIEN,7,SE,Softbollserien